city,lat,lng,admin_name,population,population_proper
Minami-Bōsō,35.0433,139.8403,Chiba,36412,36412
Kanada,33.7761,130.9806,Fukuoka,36280,36280
Miyajima,33.1525,130.4747,Kumamoto,36214,36214
Kamata,33.5633,130.7117,Fukuoka,35929,35929
Morohongō,35.9417,139.3161,Saitama,35877,35877
Rifu,38.3303,140.9756,Miyagi,35597,35597
Ōfunato,39.0822,141.7083,Iwate,35535,35535
Iyo,33.7575,132.7039,Ehime,35508,35508
Abashiri,44.0206,144.2736,Hokkaidō,35205,35205
Sōsa,35.7078,140.5644,Chiba,35186,35186
Uonuma,37.2333,138.9667,Niigata,34895,34895
Kahoku,36.72,136.7067,Ishikawa,34792,34792
Nishihara,26.2261,127.7656,Okinawa,34741,34741
Ōzu,32.8789,130.8683,Kumamoto,34571,34571
Shōbara,34.8578,133.0167,Hiroshima,34432,34432
Minamishiro,36.0225,139.7228,Saitama,34133,34133
Kamaishi,39.2758,141.8856,Iwate,34118,34118
Wakabadai,45.4,141.7,Hokkaidō,33689,33689
Kuji,40.1903,141.7753,Iwate,33556,33556
Shiroishi,38.0022,140.6197,Miyagi,33380,33380
Kaizu,35.2206,136.6367,Gifu,33178,33178
Ōsawa,33.2067,130.3839,Fukuoka,33072,33072
Motosu,35.4831,136.6786,Gifu,33054,33054
Ōdachō-ōda,35.1922,132.4997,Shimane,32848,32848
Sakaiminato,35.5397,133.2317,Shimane,32837,32837
Nagato,34.3711,131.1822,Yamaguchi,32817,32817
Shingū,33.7153,130.4467,Fukuoka,32691,32691
Namegata,35.9903,140.4892,Ibaraki,32604,32604
Yorii,36.1183,139.1931,Saitama,32576,32576
Kuroishi,40.6428,140.5944,Aomori,32376,32376
